t,signal,activity,coherence,resources,state,state_code
0,0.5911541438766307,0.5911541438766307,0.85,0.8070431564788778,AKTIV,2
1,0.5519546283794181,0.5715543861280243,0.85,0.7951789994522405,AKTIV,2
2,0.5816340272772986,0.5749142665111158,0.7908551554605001,0.7809173201246836,AKTIV,2
3,0.586622391368158,0.5778412977253764,0.8501530441957398,0.7687084160681777,AKTIV,2
4,0.6360198853173051,0.5894770152437621,0.8085388850834303,0.7542564481408077,AKTIV,2
5,0.6385465701855951,0.5976552744007343,0.8405705111549285,0.7405708536496614,AKTIV,2
6,0.6618626245048613,0.6068277529870382,0.8390808841120088,0.7263095149543045,AKTIV,2
7,0.6021218053655786,0.6062395095343557,0.8106301914163707,0.7109602726237612,AKTIV,2
8,0.6320700196566204,0.6091095662146073,0.8111033299675969,0.6954624126096058,AKTIV,2
9,0.6022334767512889,0.6084219572682755,0.8120536422849487,0.6800422076718069,AKTIV,2
10,0.6172155154493941,0.6092213716483772,0.821721015204995,0.6649582856785435,AKTIV,2
11,0.6383725022737189,0.6116506325338223,0.8257423527699097,0.6498943445720986,AKTIV,2
12,0.5966807231842499,0.6121111808094573,0.8245318511034754,0.634755839226856,AKTIV,2
13,0.6055666331824895,0.6165788478763798,0.8387353793533007,0.6199301092144409,AKTIV,2
14,0.6353759079266612,0.6210573379304934,0.8260280709387395,0.604338446365706,AKTIV,2
15,0.6195036470944947,0.6237974425743548,0.8452696489831064,0.5893699381858426,AKTIV,2
16,0.5850716073614044,0.6195517527446964,0.8270162344321759,0.5739043518745816,AKTIV,2
17,0.6053452827521439,0.6167849787919089,0.8288638436656611,0.5586712191640655,AKTIV,2
18,0.6132216370178182,0.6127315631679886,0.8588158959363383,0.544862550067807,AKTIV,2
19,0.5390156176265347,0.6074727141897349,0.8309330691559212,0.5302430746367064,AKTIV,2
20,0.5930314623740954,0.6042195010828578,0.8181369678815,0.5153064402023113,AKTIV,2
21,0.5748041579376809,0.6019337245150571,0.8157678573142153,0.5004092787861729,AKTIV,2
22,0.5371434184061387,0.5952610497614526,0.8041933437046673,0.48545112557166453,AKTIV,2
23,0.5141656374139314,0.5849104776898035,0.8118267866857672,0.4713910521322101,AKTIV,2
24,0.5711688960580668,0.582784492095955,0.7855839191942929,0.4564606716570748,AKTIV,2
25,0.5156424071746797,0.5752908065953042,0.7690699705357573,0.44136191956404935,AKTIV,2
26,0.4916787973941661,0.5633160473842629,0.7634114996859954,0.42678656495889866,AKTIV,2
27,0.4890855030867713,0.5524478687169526,0.7800762983587839,0.4134766982815367,AKTIV,2
28,0.547862254281921,0.5493470892936624,0.7599436144921206,0.399634904192096,AKTIV,2
29,0.528736373953342,0.5429630135604289,0.7562075642364391,0.38605453765396397,AKTIV,2
30,0.5470348053821621,0.5374474442574575,0.7906661767697033,0.3740190698791562,AKTIV,2
31,0.5444638495266616,0.537901463582468,0.8186938023768192,0.36293648606558737,AKTIV,2
32,0.5340984838223213,0.5329903820364869,0.8254678416756573,0.3523723709786176,AKTIV,2
33,0.5755168415841261,0.5330497723403573,0.8233731825468452,0.3417322739368418,AKTIV,2
34,0.5355908556720097,0.5329203921125133,0.814136583414386,0.33077965958466465,AKTIV,2
35,0.5580733161243535,0.5365793653383818,0.8328759058945203,0.32026811165648755,AKTIV,2
36,0.589587443248304,0.5381142442709015,0.844784694927119,0.31008582459176903,AKTIV,2
37,0.5825062702855259,0.5436862328634721,0.8531734689561807,0.29988746624945367,AKTIV,2
38,0.6119441726177925,0.553708347465441,0.837969160771366,0.2885852234312412,AKTIV,2
39,0.5990953709058099,0.5628758364503608,0.8653642528580737,0.2777670263832636,AKTIV,2
40,0.618814820731467,0.5687885503211563,0.8631773076110554,0.266544246312919,AKTIV,2
41,0.5750347558402337,0.5726467488117306,0.8505860773850183,0.2546410050617554,AKTIV,2
42,0.5976510579752511,0.5768647698611546,0.8398354445829268,0.24209966183710432,AKTIV,2
43,0.6095281784468775,0.5822867972711727,0.8392626275381762,0.22923077792481275,AKTIV,2
44,0.5984331703310185,0.5876480211468974,0.8576073770715184,0.21675998065121596,AKTIV,2
45,0.733729897356147,0.6008324424612326,0.7912568717371795,0.20096941146392458,AKTIV,2
46,0.8023489603800715,0.6230622845202377,0.7432746132938772,0.18191141249018886,AKTIV,2
47,0.8302244694705483,0.6457415472990873,0.7208690010359682,0.16049127990836956,AKTIV,2
48,0.8604850111731669,0.6683163446261592,0.6805911983591116,0.1358734300765523,INTEGRATION,1
49,0.9949190854432141,0.7026840792226332,0.5594713436638148,0.12842905167114074,MINIMAL,0
50,0.9582355055114424,0.731541690297104,0.5111608103755666,0.14153372785848786,MINIMAL,0
51,0.9683530547929793,0.7623131639543681,0.4960169668661435,0.15149478377969364,MINIMAL,0
52,0.9794702431938237,0.7923677824928979,0.5020385352578451,0.15939890538201767,MINIMAL,0
53,0.9162642332688388,0.8208035722786149,0.5110885273811223,0.16555742264571915,MINIMAL,0
54,0.8823051100083862,0.8445247432813762,0.5386189982934872,0.17138218577340456,MINIMAL,0
55,0.7833829646155541,0.8590126421287659,0.5312161812578075,0.17569267449836,MINIMAL,0
56,0.6901029499222023,0.8666517904280312,0.5841879800156824,0.18240301708461173,MINIMAL,0
57,0.6849856679279674,0.8625897713090163,0.607473052311899,0.19071555515186817,MINIMAL,0
58,0.8034873120987256,0.8626846339522374,0.5581425869481762,0.19625512794861508,MINIMAL,0
59,0.7682366772946302,0.8575189846042442,0.5497608077034478,0.2017134920813535,MINIMAL,0
60,0.8384030649548262,0.8556788224193825,0.5845789194596122,0.2092469098847378,MINIMAL,0
61,0.8309602154991185,0.8420155832573746,0.616291196738927,0.21951342158927256,MINIMAL,0
62,0.8610823199681032,0.8339194844620963,0.6158271899334222,0.23032912784253623,MINIMAL,0
63,0.8635430452801438,0.8251853170026934,0.6341315903109258,0.2427465026844266,MINIMAL,0
64,0.8736399520226475,0.816366126071762,0.6798921853010749,0.25820752440540673,MINIMAL,0
65,0.8221437473464414,0.8085227522448956,0.6783398593312111,0.2741109575577759,MINIMAL,0
66,0.720199105335432,0.7950139185221493,0.6765656993944587,0.2908265572096797,MINIMAL,0
67,0.6385652641419661,0.7829457768160171,0.6659732412888328,0.3078119368711736,MINIMAL,0
68,0.7126380281430369,0.7848237000010866,0.6311503577902252,0.32289372050981874,MINIMAL,0
69,0.6380800666353965,0.7809148998933724,0.6465826017435252,0.3390323558230216,MINIMAL,0
70,0.7376420674607552,0.7754277961735414,0.6107523814124461,0.3537435047009742,MINIMAL,0
71,0.7973979794347519,0.7778579046852183,0.616160738970884,0.3685548348696521,MINIMAL,0
72,0.8070244479458832,0.775243019934473,0.6171424845216212,0.383601160879902,MINIMAL,0
73,0.9049300890032175,0.7814071760598146,0.5702258702676206,0.3958275724923972,MINIMAL,0
74,0.8952909594202236,0.784257896014158,0.5614174758004861,0.40739419177802216,MINIMAL,0
75,0.9041527448361021,0.7876420376438211,0.5561277701634779,0.41843785025488,MINIMAL,0
76,0.9015981117405941,0.7899718842869834,0.5786792673527537,0.43046509392887516,MINIMAL,0
77,0.943125207340539,0.8000536726198249,0.595733391079551,0.44263935095137935,MINIMAL,0
78,0.8152936095485457,0.8079782146375843,0.5757081722277423,0.453189147101282,MINIMAL,0
79,0.8038966563195273,0.8217558306523811,0.6331164489388632,0.4657916135697014,MINIMAL,0
80,0.7898067050193989,0.8281865537254113,0.6746356489011376,0.4801799773566239,MINIMAL,0
81,0.8004726023572419,0.841719265035565,0.7513019511001879,0.4978541851341655,MINIMAL,0
82,0.8032942865835258,0.8471902832957959,0.789643060848846,0.5172996290358333,MINIMAL,0
83,0.8833230596095907,0.8543507066436992,0.752583520803127,0.5342597676808087,MINIMAL,0
84,0.8745357833047394,0.8599766512569371,0.8028526522978563,0.5536806041907197,MINIMAL,0
85,0.9059602389701891,0.8600624970875181,0.7908995544072007,0.5724281649850813,INTEGRATION,1
86,1.0,0.8687882504691662,0.7313679942623703,0.5622939239949866,INTEGRATION,1
87,0.9944472800699091,0.8763127950719835,0.7193375849203193,0.550996911168717,INTEGRATION,1
88,0.948955978223774,0.8802592839455817,0.7138371999595359,0.5391316491126139,INTEGRATION,1
89,0.90645363114031,0.8772033192622293,0.7629139632745537,0.5302620736327426,INTEGRATION,1
90,0.8092233544415318,0.8766974646699781,0.7155067422411765,0.5187220466013874,INTEGRATION,1
91,0.8333554788227712,0.8791523665452485,0.7126495046462727,0.5068604213191243,INTEGRATION,1
92,0.7239700599214053,0.873665979453749,0.6469992210825075,0.49162547613229424,INTEGRATION,1
93,0.7307523339378021,0.8678559570854624,0.6338424269001898,0.4760489200883323,INTEGRATION,1
94,0.7849609892769912,0.8663281823099178,0.6459196095260755,0.4612590853324701,INTEGRATION,1
95,0.7088560519553911,0.8517892650054012,0.5927218218946382,0.44452729244344985,INTEGRATION,1
96,0.7092930138529303,0.8380190342177505,0.5964898314027715,0.42899871875341544,INTEGRATION,1
97,0.697565610289623,0.8206528151610366,0.6327683832664461,0.41665966135025334,MINIMAL,0
98,0.6295591110614835,0.7897827410828269,0.6040157954522382,0.4300014583783831,MINIMAL,0
99,0.6163754904200265,0.7582767586120034,0.6394349336037656,0.44734920034421316,MINIMAL,0
100,0.6547297601530762,0.7337579071061119,0.6663355258883833,0.4676824551143449,MINIMAL,0
101,0.6179255001591588,0.7097138961910159,0.7168032014621577,0.49197135017641574,MINIMAL,0
102,0.5996011156708401,0.6922453762934583,0.7210503831578413,0.5175764600058587,MINIMAL,0
103,0.6122033967320395,0.6738160361192307,0.7870269577372225,0.5472531200204198,MINIMAL,0
104,0.5933691995135467,0.6629326310852425,0.7785520174291404,0.5772158878977744,MINIMAL,0
105,0.619548286652612,0.6536656271448099,0.7966517521341843,0.6085073546510628,INTEGRATION,1
106,0.6493733836575674,0.6423666600098579,0.8359593378951093,0.6171091618961713,AKTIV,2
107,0.6906915067797832,0.6408529479118906,0.8152453059199516,0.59993388792001,AKTIV,2
108,0.6816409824248701,0.6385486119595523,0.8190184956793706,0.5830488950255417,AKTIV,2
109,0.6968705724974373,0.6384906921435368,0.8478670971238466,0.5673645194273509,AKTIV,2
110,0.6960572917610668,0.6440322072018354,0.8524653255679912,0.5515629275652051,AKTIV,2
111,0.746502244425916,0.6548761033689928,0.8396273074527818,0.5346120509513939,AKTIV,2
112,0.714658716884664,0.6598701830966252,0.8398771744119851,0.5173901044434328,AKTIV,2
113,0.7647070582480845,0.6721019796040356,0.8169961890732466,0.4984785938477152,AKTIV,2
114,0.7540675806001121,0.6849741850148083,0.8184615638093679,0.4788870870824289,AKTIV,2
115,0.6829438245468895,0.6908692206660458,0.7942213482188653,0.45786630404071754,AKTIV,2
116,0.6892185905630696,0.6988566699201727,0.8127800919185659,0.43721430492659374,AKTIV,2
117,0.7193254810662016,0.7071714361213052,0.8176517399770082,0.4163025726055595,AKTIV,2
118,0.6826826556375462,0.7099472087863035,0.822326932454568,0.39544599860666485,AKTIV,2
119,0.6807363553769925,0.7091176128360709,0.8258462889208775,0.3747993832648525,AKTIV,2
120,0.7545011487437843,0.715189293362647,0.7932712588701384,0.35229041392155375,AKTIV,2
121,0.7390277758140945,0.7187023936390351,0.7852113985248895,0.32919611348373284,AKTIV,2
122,0.7476163682080836,0.7229989833429532,0.8079658736738304,0.30691352917339376,AKTIV,2
123,0.7898943476357058,0.726614991943769,0.799450094265149,0.28401727261489,AKTIV,2
124,0.8077279692699922,0.7343707629758797,0.8127358554975956,0.2612973321940429,AKTIV,2
125,0.7708664580974744,0.7348840462966622,0.7981265655448029,0.23784968425150088,AKTIV,2
126,0.7704989796771752,0.7362533295530841,0.8360624616103565,0.21613655979098176,AKTIV,2
127,0.7975790137347232,0.7458062619854036,0.8248462580880449,0.19333847250032596,AKTIV,2
128,0.7899214885608346,0.7541981701518841,0.8386671920594224,0.1707363576186131,AKTIV,2
129,0.7790925753822238,0.7591787613448858,0.8534180442040811,0.1485808106003657,AKTIV,2
130,0.7794866311679376,0.7672457593057518,0.8589298445721736,0.12625219956872194,AKTIV,2
131,0.7498871472581412,0.7730083252958475,0.8887057945349275,0.10510177902530325,AKTIV,2
132,0.7472538282643922,0.7724043819225649,0.8954721591464907,0.0843232229068352,AKTIV,2
133,0.6490310646739881,0.7649046559942226,0.836506772860159,0.0610089212380199,AKTIV,2
134,0.6486124337197345,0.7566543281201936,0.8500330088947625,0.03882706590631986,AKTIV,2
135,0.623573240296864,0.7427942358419568,0.8353773586525945,0.016710282367264365,AKTIV,2
136,0.6517950303150306,0.7297998242623767,0.8385612771661696,0.0,AKTIV,2
137,0.5964878671393893,0.7152682750158695,0.798430462579,0.0,AKTIV,2
138,0.5929250776948418,0.7004704498506751,0.8042907608212938,0.0,AKTIV,2
139,0.6213572240039665,0.6857853007064454,0.7972784097482901,0.0,AKTIV,2
140,0.6321928692473826,0.6726412490969911,0.8048087802307125,0.0,AKTIV,2
141,0.6369752951030483,0.6607981424070597,0.8112223248587327,0.0,AKTIV,2
142,0.6520075956617829,0.6501748894482136,0.830691005502083,0.0,AKTIV,2
143,0.7221315743142793,0.647861925036225,0.797499644050313,0.0,AKTIV,2
144,0.6970173719410375,0.6436755536759454,0.8431316417745307,0.0,AKTIV,2
145,0.4205548157025994,0.6246358662616631,0.6585091785928693,0.0,AKTIV,2
146,0.37101610921519135,0.6015028392196178,0.6021509612586163,0.0,AKTIV,2
147,0.44078068016018374,0.5862701258748945,0.5625712002170777,0.0,AKTIV,2
148,0.45412029278275845,0.5697972310805385,0.5780272488307019,0.0,AKTIV,2
149,0.3953204416124825,0.5530332789532962,0.5281298932457794,0.0,AKTIV,2
150,0.40717948478105714,0.5375544795438142,0.5245646265158089,0.0,AKTIV,2
151,0.4043054302168263,0.5194668300615525,0.5238024730393381,0.0,AKTIV,2
152,0.4860837445385826,0.5072910696691525,0.4918335050980145,0.0,AKTIV,2
153,0.4833693167439984,0.494490571472565,0.5122113306218117,0.0,AKTIV,2
154,0.47352193169025525,0.4796167661416043,0.5653594901413077,0.0,AKTIV,2
155,0.5194294080798858,0.46272491895540485,0.5995070041201365,0.0,AKTIV,2
156,0.49632210555796347,0.446000313423482,0.7805413276801987,0.0,AKTIV,2
157,0.48466960943998055,0.4513432129015971,0.8008275716846369,0.0,AKTIV,2
158,0.5031135358691416,0.46235133178942633,0.8327404665793532,0.0,AKTIV,2
159,0.5097428088747098,0.4680981758489702,0.8353623934583345,0.0,AKTIV,2
160,0.5067504359619139,0.47248402111389975,0.8650019948948044,0.0,AKTIV,2
161,0.5208615467549172,0.48294577987576937,0.8674690047006559,0.0,AKTIV,2
162,0.5258470972710378,0.49283474758326773,0.8701224111054654,0.0,AKTIV,2
163,0.4704462360102906,0.49834648139938975,0.8902856715992309,0.0,AKTIV,2
164,0.49720995066162493,0.4992736652429766,0.8772874280570941,0.0,AKTIV,2
165,0.45935107729766456,0.49727214528911545,0.861038840627165,0.0,AKTIV,2
166,0.455844841355022,0.49579905442784605,0.8833222082831136,0.0,AKTIV,2
167,0.47354568913691203,0.49197541118259824,0.8864501518350724,0.0,AKTIV,2
168,0.4634037847524093,0.4892322177821354,0.8867437538890612,0.0,AKTIV,2
169,0.47530924374748124,0.4884521873077604,0.8901858928408459,0.0,AKTIV,2
170,0.4485311494292137,0.4839036551044331,0.8783477783843784,0.0,AKTIV,2
171,0.42167133379129196,0.47656436551414827,0.8634100598454495,0.0,AKTIV,2
172,0.39738261078428583,0.46745038008267925,0.8545873040006863,0.0,AKTIV,2
173,0.4197797289663251,0.4590268952669633,0.8461638774523612,0.0,AKTIV,2
174,0.40681389757379766,0.4491074619588599,0.8714998704956854,0.0,AKTIV,2
175,0.4244406553887985,0.44527366357373555,0.8765011161729455,0.0,AKTIV,2
176,0.36004439895779855,0.43384320093175005,0.8597770920175754,0.0,AKTIV,2
177,0.4258161492126483,0.431048623591332,0.8263240348215692,0.0,AKTIV,2
178,0.4086851050090501,0.427118645562501,0.8268598834081319,0.0,AKTIV,2
179,0.3592988206212945,0.41759807318619957,0.8044365859271669,0.0,AKTIV,2
180,0.3992348518759369,0.4122506621131602,0.7907252526095465,0.0,AKTIV,2
181,0.4251331126644991,0.408069317856245,0.7942203349548647,0.0,AKTIV,2
182,0.35397730587515097,0.40018983089340643,0.76965107260964,0.0,AKTIV,2
183,0.3796304401078827,0.3966864230864557,0.769046387914015,0.0,AKTIV,2
184,0.42693440092628787,0.39914907226495583,0.7548295775393092,0.0,AKTIV,2
185,0.368363540659561,0.3948643899060588,0.7297277400503184,0.0,AKTIV,2
186,0.4154625967976976,0.3955851148413838,0.7134454944196261,0.0,AKTIV,2
187,0.4379374237255139,0.3967098455361101,0.7356023069806609,0.0,AKTIV,2
188,0.414022584297164,0.4012080276477239,0.7593989200674779,0.0,AKTIV,2
189,0.42592781651492506,0.401217333256247,0.7622452325121791,0.0,AKTIV,2
190,0.6273141800856313,0.41943642284596205,0.6440255030432618,0.0,AKTIV,2
191,0.6320117726695382,0.4421625021833157,0.6367159306159024,0.0,AKTIV,2
192,0.5804694782915201,0.45726538771794767,0.6118166229345322,0.0,AKTIV,2
193,0.614816868928312,0.47307236740659875,0.6163001966992214,0.0,AKTIV,2
194,0.6097760938572089,0.49438893307177023,0.6282546590840635,0.0,AKTIV,2
195,0.5933158805397725,0.5121960531077611,0.6504695911521092,0.0,AKTIV,2
196,0.6586426021931465,0.5315050698799992,0.639507337203969,0.0,AKTIV,2
197,0.6502646026255101,0.5549968250438283,0.6749781755150848,0.0,AKTIV,2
198,0.6209511326011838,0.5721208696941189,0.6852269753251732,0.0,AKTIV,2
199,0.6583296977869478,0.5904868925325717,0.6888488484143144,0.0,AKTIV,2
200,0.6405662082878371,0.6093655278651278,0.7103348468608007,0.0,AKTIV,2
201,0.6264833535286048,0.6260784892829344,0.840031585328249,0.0,AKTIV,2
202,0.5874300591602084,0.6227548125391492,0.8202724024070994,0.0,AKTIV,2
203,0.5857710590114861,0.6189014197343115,0.8466535296760862,0.0,AKTIV,2
204,0.6423934726312128,0.6240617525959525,0.8354370316374398,0.0,AKTIV,2
205,0.6351728927017338,0.6257580879104044,0.8342454529804098,0.0,AKTIV,2
206,0.5969859830757777,0.6246922453452851,0.821975444492556,0.0,AKTIV,2
207,0.6102168502771768,0.6261006594900688,0.8509904221808762,0.0,AKTIV,2
208,0.5800649118717828,0.6195525186299552,0.838704397589974,0.0,AKTIV,2
209,0.5355076788798199,0.6099894416511477,0.8266224625222114,0.0,AKTIV,2
210,0.524504681372802,0.6019522373821158,0.8361998914951652,0.0,AKTIV,2
211,0.5303305589924484,0.5912856424825742,0.8422718672972087,0.0,AKTIV,2
212,0.5699006700069709,0.5853968476258353,0.830160271504107,0.0,AKTIV,2
213,0.5551486584183288,0.579452289699979,0.8443134175898289,0.0,AKTIV,2
214,0.5551370499916374,0.5767612056025981,0.8448814827379423,0.0,AKTIV,2
215,0.55450553158437,0.5741557449836717,0.8751724636853114,0.0,AKTIV,2
216,0.4972993918605934,0.5620645715861201,0.8482854974999292,0.0,AKTIV,2
217,0.5000064980519618,0.5508007053653058,0.869900206289502,0.0,AKTIV,2
218,0.48948004828988123,0.5418418774664812,0.8708773311202453,0.0,AKTIV,2
219,0.5465062860784331,0.5365326637832525,0.8599623472645763,0.0,AKTIV,2
